frame,time_seconds,mean_abs_difference,changed_fraction_ge_12
267,4.433333,0.133056,0.000139
268,4.45,0.390833,0.005347
269,4.466667,0.158958,6.9e-05
270,4.483333,0.377778,0.004444
271,4.5,0.225069,0.0
272,4.516667,0.374097,0.005278
273,4.533333,0.190139,6.9e-05
274,4.55,0.144444,6.9e-05
275,4.566667,0.458056,0.004306
276,4.583333,0.095347,6.9e-05
277,4.6,0.270556,0.003819
278,4.616667,0.085833,6.9e-05
279,4.633333,0.106597,0.0
280,4.65,0.371667,0.004167
281,4.666667,0.169583,6.9e-05
282,4.683333,0.343889,0.003958
283,4.7,0.222986,6.9e-05
284,4.716667,0.343611,0.004375
285,4.733333,0.152083,0.000139
286,4.75,0.143889,0.000139
287,4.766667,0.380903,0.00375
288,4.783333,0.129722,0.000208
289,4.8,0.292083,0.003194
290,4.816667,0.16875,0.000208
291,4.833333,0.172847,0.000208
292,4.85,0.370972,0.002361
293,4.866667,0.178194,0.000278
294,4.883333,0.397639,0.002153
295,4.9,0.047292,0.000208
296,4.916667,0.275903,0.001875
297,4.933333,0.113264,0.0
298,4.95,0.101667,0.0
299,4.966667,0.301597,0.001111
300,4.983333,0.021458,0.000139
301,5.0,45.740278,0.802222
302,5.016667,0.006319,0.000139
303,5.033333,3.871597,0.000208
304,5.05,4.492778,0.002708
305,5.066667,3.716736,0.000139
306,5.083333,4.499514,0.002014
307,5.1,3.719722,0.000694
308,5.116667,4.933264,0.002917
309,5.133333,2.574722,0.000278
310,5.15,4.180903,0.000764
311,5.166667,2.012222,0.001181
312,5.183333,2.467153,0.000208
313,5.2,1.062569,0.00125
314,5.216667,2.319167,0.000208
315,5.233333,2.493194,0.000139
316,5.25,3.958681,0.146597
317,5.266667,4.068125,0.152222
318,5.283333,4.457639,0.165972
319,5.3,3.901111,0.142153
320,5.316667,3.461875,0.081319
321,5.333333,3.519583,0.045208
322,5.35,3.180278,0.030208
323,5.366667,3.647917,0.014306
324,5.383333,2.155278,0.000208
325,5.4,2.290278,0.000625
326,5.416667,2.073611,0.0
327,5.433333,2.025139,6.9e-05
328,5.45,1.660903,0.000417
329,5.466667,1.651806,6.9e-05
330,5.483333,1.594167,0.000486
331,5.5,1.582917,6.9e-05
332,5.516667,1.122708,0.000833
333,5.533333,0.810139,0.000347
334,5.55,0.799861,0.000347
335,5.566667,1.042708,0.001111
336,5.583333,0.619028,6.9e-05
337,5.6,0.680625,0.000833
338,5.616667,0.391042,0.0
339,5.633333,0.54375,0.0
340,5.65,0.795903,0.000694
341,5.666667,0.478125,0.0
342,5.683333,0.631597,0.000625
343,5.7,0.20375,0.0
344,5.716667,0.223681,0.0
345,5.733333,0.123819,0.0
346,5.75,0.258333,0.0
347,5.766667,0.452569,0.000625
348,5.783333,0.260486,6.9e-05
349,5.8,0.597847,0.000625
